cm,litros
0,0
1,7
2,18
3,34
4,52
5,72
6,95
7,120
8,146
9,174
10,204
11,235
12,267
13,301
14,336
15,372
16,409
17,448
18,487
19,528
20,569
21,612
22,655
23,699
24,744
25,790
26,837
27,885
28,933
29,983
30,1032
31,1083
32,1135
33,1187
34,1239
35,1293
36,1347
37,1401
38,1457
39,1513
40,1569
41,1626
42,1684
43,1742
44,1801
45,1860
46,1920
47,1980
48,2041
49,2102
50,2164
51,2226
52,2289
53,2352
54,2416
55,2480
56,2544
57,2609
58,2674
59,2740
60,2806
61,2872
62,2939
63,3006
64,3074
65,3142
66,3210
67,3278
68,3347
69,3416
70,3486
71,3556
72,3626
73,3696
74,3767
75,3838
76,3909
77,3981
78,4053
79,4125
80,4197
81,4270
82,4342
83,4415
84,4489
85,4562
86,4636
87,4710
88,4784
89,4858
90,4933
91,5007
92,5082
93,5157
94,5233
95,5308
96,5384
97,5459
98,5535
99,5611
100,5687
101,5764
102,5840
103,5917
104,5993
105,6070
106,6147
107,6224
108,6301
109,6378
110,6456
111,6533
112,6610
113,6688
114,6765
115,6843
116,6921
117,6999
118,7076
119,7154
120,7232
121,7310
122,7388
123,7466
124,7544
125,7622
126,7700
127,7778
128,7856
129,7934
130,8012
131,8090
132,8168
133,8246
134,8324
135,8402
136,8480
137,8558
138,8636
139,8714
140,8791
141,8869
142,8947
143,9024
144,9102
145,9179
146,9256
147,9333
148,9410
149,9487
150,9564
151,9641
152,9718
153,9794
154,9871
155,9947
156,10023
157,10099
158,10175
159,10251
160,10326
161,10402
162,10477
163,10552
164,10627
165,10701
166,10776
167,10850
168,10924
169,10998
170,11072
171,11145
172,11219
173,11292
174,11364
175,11437
176,11509
177,11581
178,11653
179,11725
180,11796
181,11867
182,11937
183,12008
184,12078
185,12148
186,12217
187,12286
188,12355
189,12424
190,12492
191,12560
192,12627
193,12694
194,12761
195,12828
196,12894
197,12959
198,13024
199,13089
200,13154
201,13218
202,13281
203,13344
204,13407
205,13469
206,13531
207,13592
208,13653
209,13713
210,13773
211,13832
212,13890
213,13949
214,14006
215,14063
216,14120
217,14175
218,14231
219,14285
220,14339
221,14393
222,14445
223,14497
224,14549
225,14599
226,14649
227,14698
228,14747
229,14794
230,14841
231,14887
232,14932
233,14976
234,15019
235,15062
236,15103
237,15144
238,15183
239,15222
240,15258
241,15294
242,15329
243,15363
244,15395
245,15426
246,15455
247,15483
248,15510
249,15534
250,15556
